,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
47,RF_Importance_med,40,SVR_RBF,0.6735,0.6235,0.5037,0.0045,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, delayed_gratification_hint, hint_reliance_ratio, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Ego_Death",2.4
48,Pearson_gt0.15,2,HuberRegressor,0.6649,0.6239,0.5019,0.0034,"{'model__epsilon': 2.0, 'model__alpha': 0.01}","score_velocity, Feat_Strategic_Growth",0.2
49,Pearson_gt0.15,2,ElasticNet,0.665,0.624,0.502,0.003,"{'model__l1_ratio': 0.1, 'model__alpha': 0.01}","score_velocity, Feat_Strategic_Growth",0.2
50,Pearson_gt0.15,2,Lasso,0.665,0.6241,0.5021,0.0026,{'model__alpha': 0.001},"score_velocity, Feat_Strategic_Growth",0.2
51,Pearson_gt0.15,2,Ridge,0.665,0.6241,0.5021,0.0028,{'model__alpha': 10.0},"score_velocity, Feat_Strategic_Growth",0.2
52,MutualInfo_p70,24,CatBoost,0.6682,0.6243,0.5049,0.002,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 4}","struggle_ratio, engagement_persistence, delayed_gratification_hint, hint_reliance_ratio, carefulness_index, contemplation_index, tuas_dominance, learning_adaptability, hesitation_penalty, exploration_efficiency, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Dur_squared, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Flow_Stamina, Psych_Impulsive_Quit, ratio_score_per_hint, inter_cowardice_penalty, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience",8.5
53,Pearson_gt0.15,2,PLSRegression,0.665,0.6243,0.5023,0.0022,{'model__n_components': 2},"score_velocity, Feat_Strategic_Growth",0.1
54,RFE_Ridge_Top20,20,SVR_RBF,0.6694,0.6245,0.5047,0.0015,"{'model__gamma': 0.001, 'model__epsilon': 0.1, 'model__C': 0.1}","struggle_ratio, apathy_speed, carefulness_index, star_efficiency, exploration_efficiency, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Duration, PCA_Hints, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Adaptability, ratio_hint_per_star, inter_ambition_vs_reality, PCA_Performance_Star, ratio_score_per_hint, Comp_GBA_DS_Anchored, Feat_Cognitive_Waste",1.7
55,Kendall_gt0.10,3,XGBoost,0.6767,0.6246,0.5025,0.0011,"{'model__subsample': 1.0, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","score_velocity, hyper_curiosity_index, Feat_Ego_vs_Capacity",2.4
56,MutualInfo_p70,24,SVR_RBF,0.6732,0.6246,0.5025,0.0013,"{'model__gamma': 0.001, 'model__epsilon': 0.1, 'model__C': 0.1}","struggle_ratio, engagement_persistence, delayed_gratification_hint, hint_reliance_ratio, carefulness_index, contemplation_index, tuas_dominance, learning_adaptability, hesitation_penalty, exploration_efficiency, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Dur_squared, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Flow_Stamina, Psych_Impulsive_Quit, ratio_score_per_hint, inter_cowardice_penalty, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience",1.9
