Feature,Pearson,Spearman,Kendall,MutualInfo,RF_Importance,Lasso_Coef,RFE_Rank
hesitation_penalty,0.008746968891886349,0.007995080521521342,0.006123327994342034,0.01711763261583954,0.015391168545024352,0.0,1
hint_vs_skip_ratio,0.00871691682469495,0.007640302364808852,0.005338054985343839,0.0,0.01315216278887291,0.010569763491032055,28
hard_challenge_efficiency,0.00627559408098674,0.03311121025267412,0.02262969625476181,0.10687240809574794,0.019098852869270138,0.0,36
inter_ambition_vs_reality,0.006128110929776491,0.049504679602193104,0.03461347614168582,0.08111895273875547,0.024001405857452886,0.008647026942541759,34
tuas_dominance,0.006126173190536318,0.00428308344492412,0.0031807660193336183,0.0,0.024386994833480283,0.0,1
carefulness_index,0.006071355215623616,0.011511794285941044,0.00830782940990055,0.0,0.027640852320961157,0.004964187312930702,37
delayed_gratification_hint,0.0040940203509263785,0.003589027566791586,0.002917737893077053,0.010261912844543364,0.01241039379942782,0.0,38
humility_challenging,0.003049246441562946,0.01823512974010899,0.012876875475109238,0.32223609011496146,0.015695053298316032,0.023998835128788983,8
Psych_Impulsive_Quit,0.002984686565525011,0.03812178871233003,0.027616133379080893,0.01028956164911543,0.014527019251858881,0.0,2
sum_weighted_score,0.002798138933324451,0.005534286078046699,0.005251555782785036,0.032334712603816484,0.012643855624297515,0.017751097586999005,1
Psych_Deprivation_Fixation,0.0024085493364349557,0.01302805381149378,0.008795669146677086,0.007105796807123088,0.01525745072693923,0.017466640513125287,47
Psych_Ego_Awareness,0.0017232898369304811,0.029014378308021,0.021168870478593244,0.07741137612717841,0.015268576467542023,0.0,1
Feat_Cognitive_Waste,0.0016359621253395457,0.02212457882342677,0.01577144304061044,0.04223142122648493,0.01873911591492854,0.0,39
