Feature,Pearson,Spearman,Kendall,MutualInfo,RF_Importance,Lasso_Coef,RFE_Rank,RFE_Rank_30
Psych_Perfectionist_Drive,0.03272890678271342,0.09554320043679365,0.06454002620039,0.0,0.007354670843832587,0.0,45,35
Psych_Impulsive_Quit,0.03190575509754235,0.06590235244269192,0.04718230311537821,0.014044278472273852,0.010570066265322895,0.0,1,1
inter_hint_x_skip,0.030202458930343384,0.04690492587977708,0.03678729279734467,0.0,0.10218420514957108,0.14571752728185117,1,1
starlv_x_redo,0.02605286729466994,0.08780711176614395,0.061064134125548876,0.0137575624811066,0.010176074515669521,0.02604719951099874,18,8
inter_sweet_victory,0.02567201891732396,0.06087394408171469,0.0408453030345199,0.0,0.00912834869693656,0.0,7,1
ratio_struggle_time,0.025021568479112213,0.03042530158022577,0.02067280268878173,0.0,0.012623902291851237,0.0,8,1
PCA_Dur_squared,0.024353033651580328,0.05988391494535901,0.04115439094513018,0.0,0.0174760298471466,0.0,1,1
hyper_curiosity_index,0.023691925859744754,0.09071774797377882,0.061939441229193516,0.0011976347919193664,0.03262110995308955,0.005067948641089003,38,28
time_diff_max_vs_avg,0.02316926020498066,0.027398586640466058,0.017925676202338394,0.001961275456342726,0.027339419720420116,0.0,1,1
HighOrd_Star_x_Effort,0.02292293710189099,0.020059473028550844,0.013387469030987642,0.0,0.014818655672313337,0.0,32,22
PCA_Dur_x_PCA_Hints,0.022171824133387724,0.036616587681894915,0.02488585576958721,0.005169335926458185,0.009462739073665535,0.0,13,3
Psych_Learned_Helplessness,0.021978305566542417,0.06059732073686857,0.04260224729101787,0.008249899846918929,0.015449722215493233,0.0203166580468217,4,1
tuas_dominance,0.020587614376454174,0.016155519284378795,0.011315499775720187,0.0014988062054461793,0.029550192039580425,0.023468608110150384,19,9
Psych_Adaptability_Log,0.016060601536558704,0.04904483645638429,0.03666643971233961,0.0,0.01623204797896044,0.07949896188987415,1,1
redo_conversion_rate,0.010922576996076287,0.013328703594685203,0.009007996705055447,0.026778295383375728,0.016210321125759167,0.0,42,32
