,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
131,Pearson_gt0.15,5,MLP_Regressor,0.7587,0.8046,0.6532,-0.0992,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","Psych_Calculated_Risk_Growth, exploration_efficiency, stagnation_ratio, Feat_Strategic_Growth, HighOrd_Score_x_PCAStar",7.8
132,Pearson_gt0.20,5,MLP_Regressor,0.7587,0.8046,0.6532,-0.0992,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","Psych_Calculated_Risk_Growth, exploration_efficiency, stagnation_ratio, Feat_Strategic_Growth, HighOrd_Score_x_PCAStar",7.5
133,Pearson_gt0.15,5,XGBoost,0.7652,0.8053,0.6493,-0.1011,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","Psych_Calculated_Risk_Growth, exploration_efficiency, stagnation_ratio, Feat_Strategic_Growth, HighOrd_Score_x_PCAStar",3.1
134,Pearson_gt0.20,5,XGBoost,0.7652,0.8053,0.6493,-0.1011,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","Psych_Calculated_Risk_Growth, exploration_efficiency, stagnation_ratio, Feat_Strategic_Growth, HighOrd_Score_x_PCAStar",2.7
135,RFE_Ridge_Top20,20,MLP_Regressor,0.7882,0.8111,0.6534,-0.1171,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","sum_weighted_score, score_velocity, boldness_score, hard_challenge_efficiency, apathy_speed, engagement_persistence, carefulness_index, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Adaptability_Log, inter_exploratory_brilliance, inter_obsessive_correction, Comp_GBA_DS_Anchored, Feat_Strategic_Growth, Mutant_Omega_Curiosity",12.2
136,MutualInfo_p80,16,MLP_Regressor,0.7641,0.8141,0.6723,-0.1254,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","humility_challenging, struggle_ratio, boldness_score, hard_challenge_efficiency, stubbornness_index, impulsive_help_ratio, exploration_efficiency, hint_dependency_gravity, adaptive_learning_capacity, ratio_redo_success, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience",11.4
137,Pearson_gt0.20,5,KNN_Regressor,0.7665,0.8211,0.6677,-0.1449,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 15}","Psych_Calculated_Risk_Growth, exploration_efficiency, stagnation_ratio, Feat_Strategic_Growth, HighOrd_Score_x_PCAStar",0.3
138,Pearson_gt0.15,5,KNN_Regressor,0.7665,0.8211,0.6677,-0.1449,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 15}","Psych_Calculated_Risk_Growth, exploration_efficiency, stagnation_ratio, Feat_Strategic_Growth, HighOrd_Score_x_PCAStar",0.3
139,Spearman_gt0.15,5,SVR_Linear,0.7649,0.8607,0.6779,-0.2578,"{'model__epsilon': 0.5, 'model__C': 0.1}","Psych_Calculated_Risk_Growth, exploration_efficiency, hyper_curiosity_index, stagnation_ratio, Feat_Strategic_Growth",0.5
140,Spearman_gt0.20,5,SVR_Linear,0.7649,0.8607,0.6779,-0.2578,"{'model__epsilon': 0.5, 'model__C': 0.1}","Psych_Calculated_Risk_Growth, exploration_efficiency, hyper_curiosity_index, stagnation_ratio, Feat_Strategic_Growth",0.6
141,Lasso_NonZero,31,MLP_Regressor,0.8381,0.8786,0.7179,-0.3106,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","grind_capacity, boldness_score, engagement_persistence, delayed_gratification_hint, keypad_dominance, hesitation_penalty, exploration_efficiency, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, inter_hint_x_skip, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Deprivation_Fixation, Psych_Adaptability_Log, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, ratio_struggle_time, ratio_score_per_hint, inter_cowardice_penalty, HighOrd_Score_x_PCADuration, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience",10.6
142,RF_Importance_med,40,MLP_Regressor,0.8508,0.8892,0.7051,-0.3425,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (64,), 'model__alpha': 0.01, 'model__activation': 'tanh'}","score_velocity, stagnation_ratio, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, reckless_action_index, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, ratio_score_per_hint, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",14.0
143,Lasso_NonZero,31,HuberRegressor,0.8401,0.9171,0.7354,-0.428,"{'model__epsilon': 1.5, 'model__alpha': 0.0001}","grind_capacity, boldness_score, engagement_persistence, delayed_gratification_hint, keypad_dominance, hesitation_penalty, exploration_efficiency, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, inter_hint_x_skip, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Deprivation_Fixation, Psych_Adaptability_Log, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, ratio_struggle_time, ratio_score_per_hint, inter_cowardice_penalty, HighOrd_Score_x_PCADuration, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience",3.0
144,Lasso_NonZero,31,SVR_Linear,0.8224,3.3133,1.667,-17.6402,"{'model__epsilon': 0.5, 'model__C': 1.0}","grind_capacity, boldness_score, engagement_persistence, delayed_gratification_hint, keypad_dominance, hesitation_penalty, exploration_efficiency, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, inter_hint_x_skip, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Deprivation_Fixation, Psych_Adaptability_Log, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, ratio_struggle_time, ratio_score_per_hint, inter_cowardice_penalty, HighOrd_Score_x_PCADuration, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience",1.2
