,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
107,Lasso_NonZero,14,SVR_Linear,0.6007,0.5771,0.4474,0.0339,"{'model__epsilon': 0.1, 'model__C': 10.0}","avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, avg_duration_failed_round, main_sum_duration, redo_n_hint, humility_challenging, n_redo, n_easier, n_same, n_veryeasy, n_easy, n_normal, n_hard",0.6
108,Spearman_gt0.20,2,RandomForest,0.6089,0.5772,0.4528,0.0336,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, avg_weighted_score",5.2
109,RF_Importance_med,16,HuberRegressor,0.5991,0.5784,0.4497,0.0294,"{'model__epsilon': 2.0, 'model__alpha': 0.01}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, main_sum_duration, main_avg_duration, total_n_hint, n_redo, n_easier, n_hintsusedat_10, n_hintsusedat_20, avg_hintsusedat, n_easy, total_hint_time",0.5
110,Pearson_gt0.15,4,RandomForest,0.6079,0.5786,0.4545,0.0289,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, humility_challenging",5.9
111,RF_Importance_p80,7,MLP_Regressor,0.5992,0.5788,0.4489,0.0281,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (64,), 'model__alpha': 0.01, 'model__activation': 'tanh'}","sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, main_sum_duration, main_avg_duration, avg_hintsusedat, total_hint_time",7.0
112,Pearson_gt0.15,4,KNN_Regressor,0.6117,0.5793,0.4514,0.0265,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, humility_challenging",0.3
113,RFE_Ridge_Top20,20,HuberRegressor,0.598,0.5798,0.4516,0.0248,"{'model__epsilon': 2.0, 'model__alpha': 0.01}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, avg_duration_failed_round, main_n_skip, main_sum_duration, main_avg_duration, percent_success_hint_after22, humility_bottomlimit, total_n_hint, main_n_hint, redo_n_hint, n_redo, n_hintsusedat_10, avg_hintsusedat, n_normal, n_hard, total_hint_time",1.4
114,RFE_Ridge_Top20,20,SVR_RBF,0.5972,0.5799,0.4473,0.0244,"{'model__gamma': 0.001, 'model__epsilon': 0.01, 'model__C': 10.0}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, avg_duration_failed_round, main_n_skip, main_sum_duration, main_avg_duration, percent_success_hint_after22, humility_bottomlimit, total_n_hint, main_n_hint, redo_n_hint, n_redo, n_hintsusedat_10, avg_hintsusedat, n_normal, n_hard, total_hint_time",3.0
115,MutualInfo_p70,10,XGBoost,0.6235,0.5803,0.4565,0.023,"{'model__subsample': 1.0, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}","main_success_rate, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",2.3
116,MutualInfo_p70,10,KNN_Regressor,0.6205,0.5804,0.4543,0.0226,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}","main_success_rate, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",0.4
117,Pearson_gt0.20,3,KNN_Regressor,0.6149,0.5806,0.4507,0.0219,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}","sum_weighted_score, avg_weighted_score, humility_challenging",0.4
118,RF_Importance_med,16,SVR_RBF,0.5955,0.5821,0.4519,0.0169,"{'model__gamma': 0.01, 'model__epsilon': 0.1, 'model__C': 1.0}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, main_sum_duration, main_avg_duration, total_n_hint, n_redo, n_easier, n_hintsusedat_10, n_hintsusedat_20, avg_hintsusedat, n_easy, total_hint_time",1.7
