,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
21,MutualInfo_p90,8,RandomForest,0.699,0.6585,0.5178,0.13,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","humility_challenging, boldness_score, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience",4.3
22,RF_Importance_med,40,CatBoost,0.6918,0.6586,0.5225,0.1295,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, impulsive_help_ratio, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Impulsive_Quit, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",11.7
23,Spearman_gt0.30,6,CatBoost,0.6954,0.6586,0.5243,0.1296,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",4.0
24,Kendall_gt0.20,11,RandomForest,0.6977,0.6593,0.5255,0.1277,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, humility_challenging, score_velocity, adaptive_learning_capacity, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",5.8
25,Spearman_gt0.20,22,CatBoost,0.6913,0.6597,0.5246,0.1268,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, impulsive_help_ratio, adaptive_learning_capacity, ratio_redo_success, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",6.9
26,RF_Importance_med,40,Ridge,0.702,0.6597,0.5193,0.1266,{'model__alpha': 500.0},"sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, impulsive_help_ratio, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Impulsive_Quit, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",0.5
27,Lasso_NonZero,37,CatBoost,0.6918,0.6601,0.5308,0.1256,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 100, 'model__depth': 4}","sum_weighted_score, struggle_ratio, grind_capacity, score_velocity, boldness_score, hard_challenge_efficiency, hint_vs_skip_ratio, engagement_persistence, impulsive_help_ratio, hint_reliance_ratio, carefulness_index, tuas_dominance, keypad_dominance, hesitation_penalty, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_success_per_duration, inter_hint_x_skip, PCA_Duration, PCA_Dur_x_PCA_Hints, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Independent_Efficiency, ratio_hint_per_star, ratio_struggle_time, HighOrd_Star_x_Effort, inter_obsessive_correction, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Cognitive_Waste, Mutant_AoL_Resilience, Mutant_Ego_Death",10.3
28,MutualInfo_p80,16,CatBoost,0.6948,0.6605,0.5246,0.1245,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, boldness_score, hard_challenge_efficiency, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience",5.4
29,RFE_Ridge_Top20,20,CatBoost,0.6934,0.6607,0.5243,0.1241,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 50, 'model__depth': 6}","sum_weighted_score, struggle_ratio, boldness_score, hard_challenge_efficiency, carefulness_index, time_diff_max_vs_avg, PCA_Duration, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Impulsive_Quit, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_struggle_time, inter_strategic_retreat, inter_exploratory_brilliance, inter_obsessive_correction, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Feat_Resilient_Explorer",7.0
30,Kendall_gt0.15,21,CatBoost,0.6907,0.6608,0.5276,0.1238,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, impulsive_help_ratio, adaptive_learning_capacity, ratio_redo_success, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",9.0
