,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Pearson_r,Pearson_p,Sig,Best_Params,Features,Time_sec
11,Pearson_gt0.15,11,ElasticNet,0.629,0.6347,0.5083,0.1437,0.4071,3.110254059025363e-07,***,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.3
12,Pearson_gt0.20,5,SVR_Linear,0.6285,0.6364,0.5135,0.1391,0.4062,3.324082667803768e-07,***,"{'model__epsilon': 0.1, 'model__C': 10.0}","sum_weighted_score, humility_challenging, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer",0.2
13,Pearson_gt0.20,5,Ridge,0.6281,0.6337,0.5077,0.1465,0.4055,3.4771360030012475e-07,***,{'model__alpha': 10.0},"sum_weighted_score, humility_challenging, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer",0.3
14,Pearson_gt0.15,11,Ridge,0.6289,0.6372,0.5084,0.1368,0.4009,4.844442467136094e-07,***,{'model__alpha': 100.0},"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.2
15,Kendall_gt0.15,7,SVR_Linear,0.6274,0.6427,0.5132,0.1218,0.3962,6.802922785946122e-07,***,"{'model__epsilon': 0.01, 'model__C': 10.0}","sum_weighted_score, score_velocity, adaptive_learning_capacity, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
16,RF_Importance_p80,16,PLSRegression,0.6346,0.6349,0.508,0.1432,0.3961,6.808694531732983e-07,***,{'model__n_components': 2},"sum_weighted_score, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",0.3
17,Kendall_gt0.15,7,SVR_RBF,0.6291,0.6473,0.5168,0.1094,0.3961,6.823689958082827e-07,***,"{'model__gamma': 0.001, 'model__epsilon': 0.01, 'model__C': 10.0}","sum_weighted_score, score_velocity, adaptive_learning_capacity, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.7
18,MutualInfo_p80,16,CatBoost,0.629,0.6385,0.5115,0.1334,0.3951,7.347376848602265e-07,***,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, boldness_score, hard_challenge_efficiency, delayed_gratification_hint, hyper_curiosity_index, inter_hint_x_skip, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, inter_strategic_retreat, inter_exploratory_brilliance, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",4.2
19,Pearson_gt0.20,5,SVR_RBF,0.6245,0.636,0.5175,0.1402,0.3933,8.295955629249112e-07,***,"{'model__gamma': 'scale', 'model__epsilon': 0.1, 'model__C': 0.1}","sum_weighted_score, humility_challenging, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer",0.6
20,Kendall_gt0.10,19,SVR_RBF,0.6245,0.6386,0.5102,0.1331,0.3929,8.557765132885724e-07,***,"{'model__gamma': 0.001, 'model__epsilon': 0.01, 'model__C': 10.0}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_reliance_ratio, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",1.0
21,RF_Importance_p80,16,Ridge,0.6342,0.6387,0.5093,0.1329,0.3927,8.687449008773749e-07,***,{'model__alpha': 100.0},"sum_weighted_score, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",0.3
22,Kendall_gt0.15,7,ElasticNet,0.6319,0.6375,0.5151,0.136,0.3923,8.901039218457027e-07,***,"{'model__l1_ratio': 0.1, 'model__alpha': 0.01}","sum_weighted_score, score_velocity, adaptive_learning_capacity, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.2
23,Kendall_gt0.15,7,Lasso,0.6322,0.6371,0.515,0.1371,0.3916,9.357817893707198e-07,***,{'model__alpha': 0.001},"sum_weighted_score, score_velocity, adaptive_learning_capacity, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.2
24,Kendall_gt0.15,7,Ridge,0.6319,0.6382,0.5156,0.1341,0.3893,1.1004636997940079e-06,***,{'model__alpha': 10.0},"sum_weighted_score, score_velocity, adaptive_learning_capacity, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.2
25,Kendall_gt0.15,7,HuberRegressor,0.6291,0.6373,0.5169,0.1367,0.3884,1.1703078836590869e-06,***,"{'model__epsilon': 1.1, 'model__alpha': 0.01}","sum_weighted_score, score_velocity, adaptive_learning_capacity, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
26,Spearman_gt0.20,8,ElasticNet,0.632,0.638,0.5176,0.1347,0.3876,1.230128750648391e-06,***,"{'model__l1_ratio': 0.1, 'model__alpha': 0.01}","sum_weighted_score, score_velocity, adaptive_learning_capacity, ratio_score_per_hint, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
27,Spearman_gt0.15,15,SVR_RBF,0.6266,0.6394,0.5164,0.131,0.3854,1.430257100384985e-06,***,"{'model__gamma': 'scale', 'model__epsilon': 0.1, 'model__C': 0.1}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",1.0
28,Spearman_gt0.20,8,Lasso,0.6322,0.6379,0.5176,0.1349,0.3853,1.4434566123611193e-06,***,{'model__alpha': 0.001},"sum_weighted_score, score_velocity, adaptive_learning_capacity, ratio_score_per_hint, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.2
29,Spearman_gt0.20,8,Ridge,0.6319,0.6389,0.518,0.1323,0.3839,1.589279555585039e-06,***,{'model__alpha': 10.0},"sum_weighted_score, score_velocity, adaptive_learning_capacity, ratio_score_per_hint, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.2
30,Pearson_gt0.20,5,PLSRegression,0.628,0.638,0.508,0.1348,0.383,1.6807658256002665e-06,***,{'model__n_components': 2},"sum_weighted_score, humility_challenging, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer",0.3
31,Spearman_gt0.20,8,PLSRegression,0.6325,0.6379,0.5183,0.135,0.3828,1.7130859782592837e-06,***,{'model__n_components': 10},"sum_weighted_score, score_velocity, adaptive_learning_capacity, ratio_score_per_hint, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.2
32,Kendall_gt0.10,19,CatBoost,0.6248,0.6394,0.5099,0.1308,0.3821,1.7905493699817217e-06,***,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_reliance_ratio, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",5.6
33,Pearson_gt0.15,11,CatBoost,0.624,0.6397,0.515,0.1301,0.3804,2.0129605393007117e-06,***,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",4.0
34,Spearman_gt0.20,8,SVR_Linear,0.6299,0.6442,0.5198,0.1177,0.3785,2.285802229891576e-06,***,"{'model__epsilon': 0.1, 'model__C': 10.0}","sum_weighted_score, score_velocity, adaptive_learning_capacity, ratio_score_per_hint, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
